 1,Dell Goldfinch,Shijiazhai,dgoldfinch0@netlog.com,8609657940
 2,Robb Groven,Tabu,rgroven1@bandcamp.com,5208396145
 3,Frannie Mardoll,Pacajus,fmardoll2@tuttocitta.it,3377870047
 4,Donaugh Bierling,Gvardeysk,dbierling3@cmu.edu,1214078739
 5,Clarie Swiggs,Bílovice,cswiggs4@rediff.com,6662222043
 6,Cahra Michiel,Cennan,cmichiel5@usnews.com,3641707554
 7,Hinda Moye,Sanjiang,hmoye6@yellowbook.com,1037138359
 8,Malia Larmouth,Ābdānān,mlarmouth7@histats.com,8858893642
 9,Florentia Blundon,Zaoxi,fblundon8@quantcast.com,7373066451
 10,Erwin Kohneke,Zhongxiao,ekohneke9@alibaba.com,9725490770
